Mean,Max,Min,Generation,Model
1,1,1,0,Equal
15.5,21,11,1000,Equal
16.6,22,11,2000,Equal
15.1,20,10,3000,Equal
15.45,20,9,4000,Equal
16.25,26,13,5000,Equal
17.05,22,12,6000,Equal
16.25,21,12,7000,Equal
15.8,21,12,8000,Equal
15.7,20,11,9000,Equal
16.8,22,14,10000,Equal
16.4,22,11,11000,Equal
16.2,19,13,12000,Equal
17.8,24,14,13000,Equal
16.65,22,12,14000,Equal
17.85,26,14,15000,Equal
16.3,23,12,16000,Equal
16.7,25,12,17000,Equal
17.05,24,12,18000,Equal
17.15,22,13,19000,Equal
17.75,25,13,20000,Equal
17,22,13,21000,Equal
15.65,22,12,22000,Equal
17.7,22,13,23000,Equal
17.95,24,13,24000,Equal
16.75,21,12,25000,Equal
17.8,23,14,26000,Equal
19.2,24,12,27000,Equal
18.1,22,13,28000,Equal
17.4,23,11,29000,Equal
17.3,22,14,30000,Equal
17.3,23,11,31000,Equal
17.55,23,12,32000,Equal
17.65,23,13,33000,Equal
16.5,21,11,34000,Equal
17.4,27,11,35000,Equal
17.5,23,12,36000,Equal
17.9,22,12,37000,Equal
17.7,21,13,38000,Equal
18.25,28,13,39000,Equal
17.3,22,14,40000,Equal
